VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,total_amount,pickup_zone,pickup_borough,dropoff_zone
2,2019-01-01 07:33:53,2019-01-01 07:57:26,1,3.71,36,40,17.50,18.80,Bushwick North,Brooklyn,Carroll Gardens
2,2019-01-01 13:21:14,2019-01-01 13:32:45,1,2.31,49,37,10.00,13.00,Clinton Hill,Brooklyn,Bushwick South
2,2019-01-01 14:44:08,2019-01-01 15:05:59,1,11.65,11,42,32.50,40.56,Bath Beach,Brooklyn,Central Harlem North
1,2019-01-01 07:12:15,2019-01-01 07:21:10,1,2.20,49,38,9.00,11.30,Clinton Hill,Brooklyn,Cambria Heights
1,2019-01-01 22:23:58,2019-01-01 22:36:30,1,3.50,38,46,13.00,18.55,Cambria Heights,Queens,City Island
1,2019-01-01 22:50:20,2019-01-01 23:07:42,1,2.30,18,29,12.50,13.80,Bedford Park,Bronx,Brighton Beach
2,2019-01-01 02:07:54,2019-01-01 02:15:40,1,1.01,13,31,6.50,11.80,Battery Park City,Manhattan,Bronx Park
2,2019-01-01 12:19:31,2019-01-01 12:27:33,1,1.14,11,48,7.00,8.30,Bath Beach,Brooklyn,Clinton East
2,2019-01-01 00:12:18,2019-01-01 00:19:03,1,2.26,7,32,9.00,10.30,Astoria,Queens,Bronxdale
2,2019-01-01 00:27:47,2019-01-01 00:34:31,1,0.82,29,7,6.00,8.76,Brighton Beach,Brooklyn,Astoria
2,2019-01-01 22:36:12,2019-01-01 22:44:40,1,0.90,7,49,7.00,9.96,Astoria,Queens,Clinton Hill
2,2019-01-01 23:54:17,2019-01-02 00:07:16,1,1.14,18,48,9.00,12.36,Bedford Park,Bronx,Clinton East
2,2019-01-01 09:19:24,2019-01-01 09:35:23,3,8.20,37,25,23.00,24.31,Bushwick South,Brooklyn,Boerum Hill
2,2019-01-01 08:21:50,2019-01-01 08:28:25,3,0.71,11,29,6.00,7.30,Bath Beach,Brooklyn,Brighton Beach
2,2019-01-01 01:38:11,2019-01-01 01:48:19,2,1.30,11,37,8.50,9.80,Bath Beach,Brooklyn,Bushwick South
2,2019-01-01 02:49:42,2019-01-01 03:00:51,1,1.82,37,43,9.50,10.80,Bushwick South,Brooklyn,Central Park
2,2019-01-01 19:10:58,2019-01-01 19:19:25,1,1.74,48,37,8.00,11.16,Clinton East,Manhattan,Bushwick South
2,2019-01-01 03:33:54,2019-01-01 03:52:41,1,4.95,29,12,18.00,24.12,Brighton Beach,Brooklyn,Battery Park
2,2019-01-01 15:56:14,2019-01-01 16:17:08,1,5.64,12,34,20.00,26.62,Battery Park,Manhattan,Brooklyn Navy Yard
1,2019-01-01 13:13:42,2019-01-01 13:36:54,3,3.20,11,39,17.00,18.30,Bath Beach,Brooklyn,Canarsie
1,2019-01-01 16:39:03,2019-01-01 16:53:40,3,2.40,39,41,11.50,17.80,Canarsie,Brooklyn,Central Harlem
1,2019-01-01 14:29:46,2019-01-01 14:43:06,1,1.70,29,14,10.00,13.55,Brighton Beach,Brooklyn,Bay Ridge
1,2019-01-01 01:48:41,2019-01-01 02:06:04,2,3.00,30,13,13.50,14.80,Broad Channel,Queens,Battery Park City
1,2019-01-01 11:34:43,2019-01-01 11:55:05,4,3.20,34,11,15.00,19.55,Brooklyn Navy Yard,Brooklyn,Bath Beach
